parkinglot_id,long,lat,capacity,node_id
d0,120.069432,30.270575,50,4430674579
d1,120.10204,30.301504,50,5899653135
d2,120.056161,30.313189,50,9528804395
d3,120.166897,30.27388,50,52609956
d4,120.092499,30.345541,50,332541217
d5,120.184541,30.2836,50,8258808866
d6,120.148392,30.344479,50,5295728194
d7,120.152676,30.290259,50,7298149227
d8,120.189023,30.296037,50,8252256082
d9,120.206375,30.311925,50,9677074655
d10,120.194473,30.322245,50,7418522172
d11,120.14939,30.302973,50,6224078232
d12,120.146948,30.345077,50,5505203530
d13,120.124386,30.266221,50,3387229396
d14,120.156988,30.29251,50,7299388450
d15,120.124108,30.294977,50,314935842
d16,120.187997,30.301128,50,9372761840
d17,120.097297,30.280728,50,318859877
d18,120.076923,30.323468,50,9431180228
d19,120.137384,30.335892,50,5466046495
d20,120.134784,30.271256,50,5122426614
d21,120.158167,30.269713,50,5027684973
d22,120.129608,30.33599,50,10826300511
d23,120.170056,30.329854,50,7432124911
d24,120.101484,30.343746,50,4683778703
d25,120.072943,30.310574,50,11882772882
d26,120.153644,30.311975,50,4322739294
d27,120.164505,30.270152,50,4866184439
d28,120.138378,30.343016,50,5504656911
d29,120.056191,30.292763,50,2262584940
d30,120.084686,30.330408,50,7764057173
d31,120.115272,30.336102,50,5019249416
d32,120.054672,30.328838,50,8776343977
d33,120.169053,30.286833,50,5066597242
d34,120.05114,30.329416,50,6608278146
d35,120.205978,30.321059,50,7298370158
d36,120.056634,30.339649,50,9703019295
d37,120.206399,30.292635,50,8218871382
d38,120.201081,30.340646,50,10852972433
d39,120.123342,30.339368,50,8994777374
d40,120.186054,30.286225,50,5382467332
d41,120.139224,30.304421,50,5024300005
d42,120.139624,30.313901,50,5792151570
d43,120.076983,30.297427,50,9551441809
d44,120.08166,30.32054,50,6052009715
d45,120.158417,30.32135,50,5281545768
d46,120.174607,30.313861,50,5556701854
d47,120.212281,30.29692,50,3357256078
d48,120.106625,30.347217,50,8857080759
d49,120.105145,30.285804,50,7756146157
