parkinglot_id,long,lat,capacity,node_id
d0,120.128676,30.28051,50,35673930
d1,120.070513,30.280761,50,7309302986
d2,120.202904,30.323023,50,7298370128
d3,120.074131,30.31523,50,3603211198
d4,120.078057,30.269865,50,7315416021
d5,120.149332,30.274346,50,35833900
d6,120.072179,30.300163,50,9435469556
d7,120.052739,30.293044,50,2943005809
d8,120.166636,30.290532,50,317505138
d9,120.195213,30.296761,50,8307077471
d10,120.141793,30.282541,50,26646149
d11,120.109822,30.28608,50,7795971405
d12,120.077255,30.329149,50,1666839496
d13,120.188468,30.269943,50,5039244442
d14,120.066451,30.33054,50,9431179902
d15,120.109017,30.282691,50,31319860
d16,120.084948,30.338296,50,3547394685
d17,120.088659,30.313482,50,4441575160
d18,120.087021,30.334562,50,5323276972
d19,120.129569,30.347413,50,5057490329
