parkinglot_id,long,lat,capacity,node_id
d0,120.152416,30.308169,50,4926633047
d1,120.156215,30.271309,50,35674107
d2,120.071752,30.306328,50,10180048670
d3,120.150265,30.287418,50,5032275222
d4,120.097414,30.2987,50,2942953833
d5,120.099332,30.264947,50,5461710945
d6,120.199012,30.299635,50,8441735957
d7,120.071449,30.271981,50,6089737538
d8,120.082396,30.271636,50,6317383983
d9,120.076568,30.280889,50,7309302628
d10,120.058489,30.272254,50,8567049062
d11,120.139686,30.309158,50,5658224897
d12,120.120214,30.298211,50,4807836902
d13,120.077607,30.308061,50,1733704963
d14,120.166846,30.329461,50,1979814444
d15,120.064976,30.321651,50,9724086983
d16,120.056249,30.313505,50,9528804395
d17,120.136675,30.301888,50,5514197706
d18,120.094336,30.320257,50,11255273402
d19,120.089996,30.310363,50,4441575083
d20,120.169586,30.340646,50,5290779884
d21,120.109509,30.327137,50,11036455969
d22,120.108607,30.283515,50,31319859
d23,120.181267,30.264127,50,5846608811
d24,120.082117,30.318894,50,9724086999
d25,120.19276,30.310827,50,7397130441
d26,120.182874,30.27191,50,26056789
d27,120.050737,30.316685,50,3751757697
d28,120.074662,30.305111,50,5139901020
d29,120.097863,30.340621,50,332541244
d30,120.145543,30.276513,50,26414471
d31,120.095509,30.345032,50,10826250372
d32,120.051097,30.337226,50,9062220589
d33,120.088089,30.347531,50,5340408225
d34,120.111231,30.304517,50,9730310312
d35,120.080153,30.321313,50,6052009708
d36,120.171139,30.337828,50,5290779899
d37,120.124858,30.300001,50,9753661824
d38,120.10872,30.266852,50,4627773844
d39,120.138974,30.330341,50,5327272328
d40,120.065808,30.309683,50,5305971532
d41,120.161951,30.314106,50,5792140967
d42,120.088602,30.323781,50,7780218571
d43,120.195323,30.291002,50,8441735343
d44,120.165329,30.347608,50,5057453280
d45,120.130768,30.284141,50,4187252310
d46,120.108431,30.279436,50,5492634527
d47,120.120116,30.292399,50,6304780096
d48,120.15383,30.303901,50,5276524322
d49,120.15827,30.334002,50,7404718377
d50,120.172913,30.288161,50,8995622014
d51,120.103957,30.334299,50,5019249842
d52,120.051968,30.335734,50,3313338916
d53,120.086419,30.272712,50,9831086904
d54,120.121235,30.27412,50,5657622715
d55,120.080022,30.296272,50,3289884216
d56,120.057716,30.318226,50,1666831288
d57,120.143785,30.30517,50,5106931677
d58,120.090122,30.317228,50,332556635
d59,120.122764,30.349522,50,6222237447
d60,120.20743,30.268414,50,5039275833
d61,120.071335,30.350337,50,3313337281
d62,120.146523,30.315564,50,4322705337
d63,120.106009,30.290608,50,6021206893
d64,120.098911,30.290845,50,4807836873
d65,120.122047,30.33446,50,8693803021
d66,120.056173,30.327192,50,5671013288
d67,120.11861,30.313586,50,6054748101
d68,120.2025,30.267631,50,3921823698
d69,120.056305,30.281417,50,271683818
d70,120.071314,30.338775,50,1666839480
d71,120.12601,30.310317,50,5515724456
d72,120.158619,30.264913,50,8993097251
d73,120.148654,30.341304,50,5302092040
d74,120.172228,30.303976,50,4323005144
d75,120.188819,30.288507,50,5360836261
d76,120.147118,30.283202,50,5629941835
d77,120.179681,30.284708,50,4217404680
d78,120.152328,30.305148,50,5025742193
d79,120.077479,30.293941,50,11882797480
d80,120.146176,30.320899,50,3385790007
d81,120.202286,30.334581,50,4732658750
d82,120.080218,30.336356,50,5618748291
d83,120.177416,30.348704,50,5537718016
d84,120.126166,30.277828,50,6298795368
d85,120.12377,30.330704,50,5137214812
d86,120.053292,30.342719,50,6608289555
d87,120.207343,30.336971,50,4732658783
d88,120.071503,30.276444,50,1987574808
d89,120.076641,30.32669,50,332558636
d90,120.089931,30.303221,50,8998101049
d91,120.204501,30.316873,50,7298370173
d92,120.103653,30.287572,50,11255273398
d93,120.133486,30.314378,50,4512174474
d94,120.080969,30.311765,50,4107946696
d95,120.21088,30.293406,50,5577761046
d96,120.085359,30.290109,50,9887476281
d97,120.053856,30.26478,50,8491880958
d98,120.158015,30.306053,50,5792174685
d99,120.212075,30.294727,50,5577761038
